Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Studio Apartment for Rent - 26 Albert Avenue,1849,"26 Albert Avenue, Toronto, ON, M8V 2L4",2024-03-13 15:56:44,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,392,No,No,Not Included,No,,,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-apartment-for-rent-26-albert-avenue/1684189619
Bachelor apartment   for rent in Glen shields Neighborhood,1400,"Concord, ON L4K 1G9",2024-03-13 15:46:13,Basement,Bachelor/Studio,1,,Not Included,0,1 Year,"May 1, 2024",No,600,No,Yes,Not Included,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Beautiful , Bright, Spacious walkout basement bachelor apartment in house, access to back yard garden, convenient location, great area with parks, schools/shopping/TTC, close to York University and new subway line. Min Walk To bus stop, . Short Walk to Dufferin Street, .No Smokers & No Pets Please, Tenant pay 30% utilities, prefer small family or couple.",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent-in-glen-shields-neighborhood/1688109078
2-bedroom apartment in heart of the Junction Bloor West Village,1950,"Toronto, ON M6P 2V4",2024-03-13 15:45:17,Basement,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,"May 1, 2024",Limited,1,No,No,Yard,No,"Laundry (In Building), Fridge / Freezer",,"2 bedroom basement apartment on Quebec Avenue, a quiet and safe residential neighborhood.
Good-size 2 bedrooms with laminated floors, walk-in closet.
Beautiful 3-pieces Bathroom with glass shower and granite vanity top.
Kitchen with granite countertop, ceramic floor and many storage spaces.
Living area with laminated floor.
Separate entrance. Share laundry (no coin)
Steps to TTC, close to many restaurants, cafés, shops, etc. on Dudas St. W
$1,950 per month, all utilities included (hydro, gas, heat, water).
No Smoking. Credit Check, References, Job Letter.
Ideal for young couple/professionals or roommates who enjoy living in a green, vibrant yet tranquil neighborhood, yet steps away from 24-transit to the Downtown core.
Available from May 1st, 2024. Please email to book an appointment. 24 hours noticed for showing.",7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-in-heart-of-the-junction-bloor-west-village/1688108974
2 Bedroom Apartment for Rent - 15 Craigton Drive,2472,"15 Craigton Drive, Toronto, ON, M1L 2N5",2024-03-13 15:42:44,Apartment,2,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,954,No,No,Not Included,No,,,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent-15-craigton-drive/1686337217
Golden Mile 1 Bedroom Apartment for Rent - 32 Craigton Drive,2236,"32 Craigton Drive, Scarborough, ON, M1L 2N7",2024-03-13 15:42:43,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Yes,602,No,No,Not Included,No,"Laundry (In Building), Fridge / Freezer",,Current Promotions,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/golden-mile-1-bedroom-apartment-for-rent-32-craigton-drive/1686698098
Bachelor - fully renovated call (416) 897-9396,1900,"196 Eglinton Avenue East, Toronto, ON, M4P 1K2",2024-03-13 15:36:00,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer",,Fully renovated suite located in trendy Yonge & Eglinton!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-fully-renovated-call-416-897-9396/1688104148
Upscale 2 Bedroom Suite Davisville & Mt Pleasant Rd,3347,"345 Merton St., Toronto, ON, M4S 1B5",2024-03-13 15:31:47,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 1, 2024",Yes,900,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-davisville-mt-pleasant-rd/1677577329
Renovated Studio apartment in the Heart of The Toronto Beaches,1797,"Avion Avenue, Toronto, ON",2024-03-13 15:30:31,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"April 1, 2024",Yes,450,No,No,Yard,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"If you desire proximity to a Sand Beach while at the same time having all the amenities that a Friendly, Upscale Urban Neighbourhood has to offer then you will want to move into this well located renovated, cozy apartment south of Queen St. in ""The Beach"" with an 95 Walk Score!",183 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-studio-apartment-in-the-heart-of-the-toronto-beaches/1687542247
2 Bed 2 Bath Apartment Etobicoke - All Inclusive,3450,"95 La Rose Avenue, Etobicoke, ON",2024-03-13 15:30:29,Apartment,2,2,"Hydro_Yes,Heat_Yes,Water_Yes",Cable / TVInternet,1,1 Year,"April 3, 2024",No,"1,100",No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"The Sovereign, Over 1000 Sqft 2Bdrm 2Bath In This Exclusive, High End, And Friendly Building. La Rose Park Next Door. Enjoy Vast And Open Views From The Extra Large Balcony Accessible From Your Huge Combined Living/Dining Room And From The Bedroom. Eat-In Kitchen. Many Upgrades And Modern Finishes. En-Suite Laundry. En-Suite Bathroom And Walk-In Closet In The Primary Bedroom. Maintenance Fees Are All Inclusive: Heat, Hydro, Water, Bldg Insurance, Rogers Internet, Cable, And Telephone, Air Conditioning, Common Elements, Underground Parking, Locker, And Onsite Property Management And Security. Easy Transportation With Ttc Bus Stop Literally At The Front Door And a New LRT Station. Highways, Shopping, Schools, Places Of Worship. Amenities: Sauna, Gym, Party Room With Kitchen, Library, Hobby Room.",64 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-apartment-etobicoke-all-inclusive/1685833059
"HUGE 50' x 50' yard. ALL main house. Prime, safe Yonge & Steeles",2895,"Thornhill, ON L3T",2024-03-13 15:28:58,House,2 + Den,1,"Hydro_No,Heat_Yes,Water_No",Internet,1,1 Year,"April 1, 2024",No,"1,200",No,Yes,Yard,No,Fridge / Freezer,,"**FREE WIFI, PARKING and ALL CURTAINS included*** CLEAN, LARGE house with HUGE solarium in bungalow.
WALK TO CENTERPOINT MALL, RESTAURANTS, PARKS, SCHOOLS, BUSES, CLOSE TO TTC.
Move in now for spring!
Ideal for up to 3 people. No pets.
$2895 + hydro/water.
Please send phone # to view.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/huge-50-x-50-yard-all-main-house-prime-safe-yonge-steeles/1688107344
2 bedroom 2 bathroom,3200,"150 Logan Ave, Торонто, M4M 1C5",2024-03-13 15:27:47,Condo,2,2,,Not Included,1,1 Year,"May 1, 2024",Yes,700,No,Yes,Not Included,No,,,"Hello everyone‍♀️
We're renting out our 2 bedroom 2 bathroom apartment in Downtown due to relocation.
Price is $3200 (includes parking and locker).
The area is really cool (and most importantly, very quiet for Toronto). You get the downtown vibe but in a peaceful setting. It's on Logan Street, surrounded by private houses, lots of cafes, restaurants, and great transportation options.
The balcony offers a view of the CN Tower and the entire city.
The building is brand new, we're the first occupants, everything is in perfect condition. Parking and locker are included in the price. There's a gym, coworking space, barbecue area, and outdoor relaxation zone.
Two bedrooms, one master bedroom (with ensuite bathroom), and the other separate from the bathroom. Can be used as a bedroom or office, whatever you prefer.
Landlords are great, quick to respond to any questions or requests, and hands-off if everything is okay
If you want to see the apartment, message me privately.
You'll need to pay the first and last month's rent. Of course, you need to be employed and provide at least two paystubs, a letter from your employer, and a credit score report.",3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-2-bathroom/1688107215
2 Spacious Bedrooms & 1 Bath Basement for Rent,,"Toronto, ON M4J 1L2",2024-03-13 15:24:35,Basement,2,1,,Internet,0,Month-to-month,"April 1, 2024",No,900,No,Yes,Not Included,No,Laundry (In Building),,"A 2-bedroom basement apartment is available for rent. Located in a quiet and friendly neighborhood near Markham & Sheppard, close to Scarborough Town Centre, Hwy 401, Centennial Collage, schools, and many other amenities. 4-minute walk to closest bus stop on Sheppard Ave E. Separate entrance, Shared laundry unit, cozy living/ dining area, two bedrooms with windows facing the backyard. Large cupboards in each room. No pets, smoking, or drugs are allowed. Requirements: Recent pay stub, first and last month’s rent, and 1/3 shared utility bills with the upper unit.",3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-spacious-bedrooms-1-bath-basement-for-rent/1688106810
Spacious Renovated One Bedroom,2395,"2700 Bathurst Street, Toronto, ON, M6B 2Z7",2024-03-13 15:24:00,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,618,No,No,Balcony,No,"Laundry (In Building), Fridge / Freezer","Pool, Bicycle Parking, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-renovated-one-bedroom/1688104141
1 BEDROOM APARTMENT FOR RENT ON THE TTC SUBWAY,2200,"185 Millway Avenue, Vaughan, ON",2024-03-13 15:22:54,Apartment,1,1,,Not Included,0,1 Year,"March 16, 2024",Yes,616,No,Yes,Not Included,No,Laundry (In Unit),"Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Be the first to live in this BRAND NEW 1 bedroom 1 bathroom unit available immediately, just steps to the TTC VMC Subway stop!",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-on-the-ttc-subway/1688106611
2 Bedroom 2 Bath for rent in Etobicoke | 1 Month FREE Rent,3099,"5249 Dundas Street West, Etobicoke, ON, M9B 1A5",2024-03-13 15:10:47,Apartment,2,2,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, Elevator in Building","Station Place is a prestige rental property located in Etobicoke, minutes away from Downtown Toronto. This building offers premium features such as white quartz countertops and stainless-steel appliances. Unbeatable amenities such as Concierge, Kids Craft Room, Dog Run/Dog Wash Station, Pool and many more! The suites offered at the apartment building are Studio, 1 & 2 bedroom, also 1 bedroom + den, & 2 bedroom + den. Station Place is conveniently located close to major highways, and walking distance to the TTC and GO Station. Let Station Place be your next destination stop for luxury living!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-2-bath-for-rent-in-etobicoke-1-month-free-rent/1652042901
1 Bedroom + Den for rent in Etobicoke | 1 Month FREE Rent!,2499,"5249 Dundas Street West, Etobicoke, ON, M9B 1A5",2024-03-13 15:10:43,Apartment,1 + Den,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool","Station Place is a prestige rental property located in Etobicoke, minutes away from Downtown Toronto. This building offers premium features such as white quartz countertops and stainless-steel appliances. Unbeatable amenities such as Concierge, Kids Craft Room, Dog Run/Dog Wash Station, Pool and many more! The suites offered at the apartment building are Studio, 1 & 2 bedroom, also 1 bedroom + den, & 2 bedroom + den. Station Place is conveniently located close to major highways, and walking distance to the TTC and GO Station. Let Station Place be your next destination stop for luxury living!PROMOTION: Receive 1 month FREE rent !*Some conditions apply, please inquire for more details.*",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-den-for-rent-in-etobicoke-1-month-free-rent/1648336960
1 Bedroom Available near Eglinton Square shopping centre!,2325,"4 & 8 Rannock Street • 880 Pharmacy Avenue, Scarborough, ON, M1L 2N8",2024-03-13 15:10:38,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Rannock and Pharmacy apartments are located near the Victoria Park Avenue and Eglinton Avenue East intersection. 4 and 8 Rannock and 880 Pharmacy offers both 1 bedroom apartment and 2 bedroom apartment options for rent in a convenient Scarborough location. Rannock and Pharmacy Apartments provide easy access to the TTC, DVP, and Highway 401. The community is only a few minutes away from Eglinton Square shopping centre and other convenient shops.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!Suite offers:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-near-eglinton-square-shopping-centre/1680546255
3 Bedroom Available | Call Now!,3299,"5 Dufresne Court, Toronto, ON, M3C 1B7",2024-03-13 15:09:24,Apartment,3,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Gym, Pool","Located at 5 Dufresne Court, near the Don Mills Roadand Eglinton Ave East intersection, Dufresne Court Apartments has spacious floor plans that provide a comfortable living space for growing and mature families.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!Suite offers:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-available-call-now/1687052879
1 Bedroom Available - Toronto | Call Now!,2449,"5 Dufresne Court, Toronto, ON, M3C 1B7",2024-03-13 15:09:19,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Gym, Pool, Elevator in Building","Located at 5 Dufresne Court in Toronto, near the Don Mills Road and Eglinton Avenue East intersection, Dufresne Court Apartments has 1 bedroom apartment, 2 bedroom apartment, and 3 bedroom apartment options for rent with parquet and ceramic floors. Dufresne's spacious floor plan provides comfortable living space for growing and mature families.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-toronto-call-now/1684434540
1 Bedroom Available | East York!,2399,"6 Grandstand Place, Toronto, ON, M4H 1E4",2024-03-13 15:08:54,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Located at the heart of East York in Toronto, Blenheim Court Apartments has 1 bedroom apartment, 2 bedroom apartment, and 3 bedroom apartment options for rent with ample storage. Situated at 6 Grandstand Place, near the Thorncliffe Park Drive and Overlea Boulevard intersection, the building features suites with hardwood floors and large windows that provide ample lighting.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-east-york/1686629991
1 Bedroom - VP & Eglinton | Call Now!,2249,"1-7 Biggin Court, Scarborough, ON, M4A 1M1",2024-03-13 15:08:45,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,No,"Laundry (In Building), Fridge / Freezer",Elevator in Building,"Biggin Court Apartments are located at 1, 2, 3, 5, & 7 Biggin Court in Scarborough, near the Victoria Park Avenue and Eglinton Avenue East. This ""Feel at Home"" community offers Studio, 1 and 2 bedroom apartment options with some newly renovated suites!Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!Suite offers:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-vp-eglinton-call-now/1648228361
Studio - VP & Eglinton | $500 Off FMR | Call Now!,1915,"1-7 Biggin Court, Scarborough, ON, M4A 1M1",2024-03-13 15:08:39,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",Elevator in Building,"Biggin Court Apartments are located at 1, 2, 3, 5, & 7 Biggin Court in Scarborough, near the Victoria Park Avenue and Eglinton Avenue East. This ""Feel at Home"" community offers Studio, 1 and 2 bedroom apartment options with some newly renovated suites!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-vp-eglinton-500-off-fmr-call-now/1677742257
1 Bedroom Available | Thorncliffe Park & Overlea Blvd!,2599,"50 Thorncliffe Park, Toronto, ON, M4H 1J2",2024-03-13 15:08:25,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Thorncliffe Park Apartments are located at 50 Thorncliffe Park Drive, near the Thorncliffe Park Drive and Overlea Boulevard intersection. The apartment is highly accessible via TTC and private cars through the Don Valley Parkway.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-thorncliffe-park-overlea-blvd/1686629983
48 Isabella - 1 Bedroom Apartment for Rent,2700,"48 Isabella Street, Toronto, ON, M4Y 1N2",2024-03-13 15:08:03,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"May 1, 2024",Yes,756,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/48-isabella-1-bedroom-apartment-for-rent/1687444316
2 Bedroom Available  - Scarborough |  Call Now!,2749,"1631 Victoria Park Avenue, Scarborough, ON, M1R 1P2",2024-03-13 15:08:02,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Victoria Park Apartments is located at 1631 Victoria Park Ave in Scarborough, near the Lawrence Avenue East and Victoria Park Avenue intersection. Offering something for everyone with proximity to major shopping centres, grocery stores, parks, and restaurants.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-available-scarborough-call-now/1687052801
1 Bedroom Available in Scarborough | $250 Off FMR | Call Now!,2149,"1631 Victoria Park Avenue, Scarborough, ON, M1R 1P2",2024-03-13 15:07:58,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Victoria Park Apartments is located at 1631 Victoria Park Ave in Scarborough, near the Lawrence Avenue East and Victoria Park Avenue intersection. Offering something for everyone with proximity to major shopping centres, grocery stores, parks, and restaurants.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-in-scarborough-250-off-fmr-call-now/1678658182
"2 bdrm +den - Fifty on the Park,",3005,"50 Portland St, Toronto, ON, M5V 2M7",2024-03-13 15:06:46,Apartment,2 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,790,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","2 bdrm +den , 1 bath east view3 black appliances, black granite counter tops, ensuite laundrylaminate floorswindow coveringsRent covers heat and water; hydro and internet billed separatelyParking available at an additional $170 per month, lockers $50 per month, if required",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdrm-den-fifty-on-the-park/1675915878
